     Time        Chn     ID          Name                             Event Type    Dir    DLC   Data length   Data                            
 [+] 0.001631    CAN 1   1410F004x   DASHBOARD_BroadcastInformation   CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.002271    CAN 1   1412F004x   DASHBOARD_DisplayInformation     CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
     0.002582    CAN 2   18E33517x                                    CAN Frame     Rx     8     8             14 03 00 00 FF FF FF FF         
 [+] 0.002851    CAN 1   1413F004x   DASHBOARD_CPT1                   CAN Frame     Rx     8     8             C0 9D 01 00 3F 62 FE FF         
 [+] 0.003447    CAN 1   1414F004x   DASHBOARD_CPT2                   CAN Frame     Rx     8     8             00 00 00 00 FF FF FF FF         
     0.004023    CAN 1   18E30317x                                    CAN Frame     Rx     8     8             14 03 00 00 FF FF FF FF         
 [+] 0.004599    CAN 1   18ECFF17x   TPCM                             CAN Frame     Rx     8     8             20 0A 00 02 FF CA FE 00         
 [+] 0.011246    CAN 1   1410F004x   DASHBOARD_BroadcastInformation   CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
     0.011261    CAN 2   18E33517x                                    CAN Frame     Rx     8     8             14 03 00 00 FF FF FF FF         
 [+] 0.011838    CAN 1   1412F004x   DASHBOARD_DisplayInformation     CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.012414    CAN 1   1413F004x   DASHBOARD_CPT1                   CAN Frame     Rx     8     8             C0 9D 01 00 3F 62 FE FF         
 [+] 0.013010    CAN 1   1414F004x   DASHBOARD_CPT2                   CAN Frame     Rx     8     8             00 00 00 00 FF FF FF FF         
     0.013586    CAN 1   18E30317x                                    CAN Frame     Rx     8     8             14 03 00 00 FF FF FF FF         
 [+] 0.111274    CAN 1   18EBFF17x   TPDT                             CAN Frame     Rx     8     8             01 00 FF CC E2 E3 7E 55         
 [+] 0.151251    CAN 1   1410F004x   DASHBOARD_BroadcastInformation   CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.151843    CAN 1   1412F004x   DASHBOARD_DisplayInformation     CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.221278    CAN 1   18EBFF17x   TPDT                             CAN Frame     Rx     8     8             02 E0 E3 7E FF FF FF FF         
 [+] 0.221278    CAN 1   18FECA17x   IC2_DM1                          J1939 Frame   Rx     10                  00 FF CC E2 E3 7E 55 E0 E3 7E   
 [+] 0.301224    CAN 1   1410F004x   DASHBOARD_BroadcastInformation   CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.301816    CAN 1   1412F004x   DASHBOARD_DisplayInformation     CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.451224    CAN 1   1410F004x   DASHBOARD_BroadcastInformation   CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.451820    CAN 1   1412F004x   DASHBOARD_DisplayInformation     CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.601200    CAN 1   1410F004x   DASHBOARD_BroadcastInformation   CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.601792    CAN 1   1412F004x   DASHBOARD_DisplayInformation     CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.623508    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             03 22 F1 86 00 00 00 00         
 [+] 0.631251    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             04 62 F1 86 01 00 00 00         
 [+] 0.632208    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             02 10 03 00 00 00 00 00         
 [+] 0.651258    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             06 50 03 00 32 01 90 00         
 [+] 0.652454    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             04 31 01 02 03 00 00 00         
 [+] 0.691239    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             03 7F 31 78 32 01 90 00         
 [+] 0.751199    CAN 1   1410F004x   DASHBOARD_BroadcastInformation   CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
 [+] 0.751799    CAN 1   1412F004x   DASHBOARD_DisplayInformation     CAN Frame     Rx     8     8             00 00 00 00 00 00 00 00         
